,Region Name_en (M49),Country or Area_en (M49),ISO-alpha3 Code (M49)
217,Europe,Luxembourg,LUX
218,Europe,Monaco,MCO
219,Europe,Netherlands,NLD
220,Europe,Switzerland,CHE
221,Oceania,Australia,AUS
222,Oceania,Christmas Island,CXR
223,Oceania,Cocos (Keeling) Islands,CCK
224,Oceania,Heard Island and McDonald Islands,HMD
225,Oceania,New Zealand,NZL
226,Oceania,Norfolk Island,NFK
227,Oceania,Fiji,FJI
228,Oceania,New Caledonia,NCL
229,Oceania,Papua New Guinea,PNG
230,Oceania,Solomon Islands,SLB
231,Oceania,Vanuatu,VUT
232,Oceania,Guam,GUM
233,Oceania,Kiribati,KIR
234,Oceania,Marshall Islands,MHL
235,Oceania,Micronesia (Federated States of),FSM
236,Oceania,Nauru,NRU
237,Oceania,Northern Mariana Islands,MNP
238,Oceania,Palau,PLW
239,Oceania,United States Minor Outlying Islands,UMI
240,Oceania,American Samoa,ASM
241,Oceania,Cook Islands,COK
242,Oceania,French Polynesia,PYF
243,Oceania,Niue,NIU
244,Oceania,Pitcairn,PCN
245,Oceania,Samoa,WSM
246,Oceania,Tokelau,TKL
247,Oceania,Tonga,TON
248,Oceania,Tuvalu,TUV
249,Oceania,Wallis and Futuna Islands,WLF
250,World,International Olympic Committee Mixed teams,ZZX
251,Europe,Bohemia,BOH
252,Oceania,Australasia,ANZ
253,Europe,Russian Empire,RU1
254,Europe,Czechoslovakia,TCH
255,Europe,Yugoslavia,YUG
256,Europe,Soviet Union,URS
257,Europe,United Team of Germany,EUA
258,Americas,British West Indies,BWI
259,Europe,East Germany,GDR
260,Europe,West Germany,FRG
261,Europe,Netherlands Antilles,AHO
262,World,Independent Olympic Participants,IOP
263,Europe,Serbia and Montenegro,SCG
